Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (Â°F);Weather type;Notes
2021-02-02 00:23:34;2021-02-02 08:35:12;72%;64%;;0;0;Normal;99.3;;48.3;29497.7;25761.4;2359.8;2021-02-02 08:35:00;2021-02-02 08:35:00;true;60.0;32.0;No weather;
2021-02-03 00:06:48;2021-02-03 08:35:12;89%;65%;;0;0;Normal;99.1;;37.8;30504.1;27352.0;2542.0;2021-02-03 08:35:00;2021-02-03 08:35:00;true;180.0;32.0;No weather;
2021-02-04 00:59:04;2021-02-04 08:35:09;71%;59%;;0;0;Normal;100.1;;44.9;27364.8;23442.5;3101.3;2021-02-04 08:35:00;2021-02-04 08:35:00;true;60.0;32.0;No weather;
2021-02-05 00:27:18;2021-02-05 08:30:25;90%;95%;;0;0;Normal;99.7;;33.6;28986.8;27247.6;1739.2;2021-02-05 08:30:00;2021-02-05 08:30:00;true;240.0;32.0;No weather;
2021-02-06 00:06:54;2021-02-06 09:00:29;96%;94%;;0;0;Normal;100.0;;36.2;32015.3;29987.7;2027.6;2021-02-06 09:00:00;2021-02-06 09:00:00;true;180.0;32.0;No weather;
2021-02-07 01:10:00;2021-02-07 10:00:20;85%;90%;;0;0;Normal;100.5;;43.0;31820.4;30229.4;1591.0;2021-02-07 10:00:00;2021-02-07 10:00:00;true;540.0;32.0;No weather;
2021-02-08 00:29:32;2021-02-08 09:30:31;90%;89%;;0;0;Normal;101.3;;40.6;32459.0;29862.3;2596.7;2021-02-08 09:30:00;2021-02-08 09:30:00;true;180.0;32.0;No weather;
2021-02-09 00:33:14;2021-02-09 08:15:17;82%;87%;;0;0;Normal;101.6;;37.1;27722.3;25874.1;554.4;2021-02-09 08:15:00;2021-02-09 08:15:00;true;60.0;32.0;No weather;
2021-02-09 23:36:16;2021-02-10 08:35:20;99%;90%;;0;0;Normal;101.3;;34.5;32343.7;29756.2;1940.6;2021-02-10 08:35:00;2021-02-10 08:35:00;true;240.0;32.0;No weather;
2021-02-11 00:52:41;2021-02-11 08:40:31;74%;65%;;0;0;Normal;101.0;;43.4;28069.9;26947.1;561.4;2021-02-11 08:35:00;2021-02-11 08:35:00;true;120.0;32.0;No weather;
2021-02-11 23:16:10;2021-02-12 08:35:13;90%;64%;;0;0;Normal;101.5;;40.7;33543.0;30188.7;1900.8;2021-02-12 08:35:00;2021-02-12 08:35:00;true;240.0;32.0;No weather;
2021-02-13 00:18:18;2021-02-13 09:35:27;94%;86%;;0;0;Normal;101.4;;38.1;33429.3;29863.5;2785.8;2021-02-13 09:30:00;2021-02-13 09:30:00;true;120.0;32.0;No weather;
2021-02-14 00:41:17;2021-02-14 09:30:47;86%;88%;;0;0;Normal;101.0;;42.5;31770.0;28698.9;2435.7;2021-02-14 09:30:00;2021-02-14 09:30:00;true;60.0;32.0;No weather;
2021-02-14 22:27:06;2021-02-15 09:00:19;82%;85%;;0;0;Normal;101.2;;46.1;37992.8;33560.3;4432.5;2021-02-15 09:00:00;2021-02-15 09:00:00;true;420.0;32.0;No weather;
2021-02-16 00:25:31;2021-02-16 08:25:18;79%;84%;;0;0;Normal;99.9;;41.3;28786.9;25140.6;3646.3;2021-02-16 08:25:00;2021-02-16 08:25:00;true;240.0;32.0;No weather;
2021-02-17 01:15:07;2021-02-17 08:25:18;77%;83%;;0;0;Normal;101.2;;36.1;25810.5;21164.6;3785.5;2021-02-17 08:25:00;2021-02-17 08:25:00;true;0.0;32.0;No weather;
2021-02-18 01:47:07;2021-02-18 09:30:17;84%;86%;;0;0;Normal;101.7;;35.9;27789.8;26585.6;1204.2;2021-02-18 09:30:00;2021-02-18 09:30:00;true;0.0;32.0;No weather;
2021-02-19 01:46:36;2021-02-19 08:30:25;78%;90%;;0;0;Normal;101.0;;31.6;24229.3;20998.7;2746.0;2021-02-19 08:30:00;2021-02-19 08:30:00;true;80.0;32.0;No weather;
2021-02-20 00:43:34;2021-02-20 10:00:16;100%;86%;;0;0;Normal;101.1;;30.7;33402.4;30284.8;3117.6;2021-02-20 10:00:00;2021-02-20 10:00:00;true;60.0;32.0;No weather;
2021-02-21 01:54:52;2021-02-21 09:44:58;85%;86%;;0;0;Normal;102.2;;35.3;28206.8;25950.2;2256.5;2021-02-21 10:00:00;2021-02-21 10:00:00;true;0.0;32.0;No weather;
2021-02-22 01:15:29;2021-02-22 10:00:18;92%;86%;;0;0;Normal;101.7;;37.5;31488.7;28759.7;2729.0;2021-02-22 10:00:00;2021-02-22 10:00:00;true;120.0;32.0;No weather;
2021-02-23 01:06:41;2021-02-23 08:37:58;77%;89%;;0;0;Normal;100.0;;39.0;27077.5;22925.6;4151.9;2021-02-23 08:35:00;2021-02-23 08:35:00;true;0.0;32.0;No weather;
2021-02-24 01:53:28;2021-02-24 08:35:20;75%;91%;;0;0;Normal;100.6;;33.3;24112.6;22022.9;1527.1;2021-02-24 08:35:00;2021-02-24 08:35:00;true;0.0;32.0;No weather;
2021-02-24 22:59:40;2021-02-25 09:31:55;81%;83%;;0;0;Normal;100.0;;46.2;37934.4;34014.5;758.7;2021-02-25 09:30:00;2021-02-25 09:30:00;true;120.0;32.0;No weather;
2021-02-26 00:46:58;2021-02-26 09:30:14;90%;82%;;0;0;Normal;101.5;;38.7;31395.5;28883.9;2511.6;2021-02-26 09:30:00;2021-02-26 09:30:00;true;360.0;32.0;No weather;
2021-02-27 00:55:34;2021-02-27 09:30:10;64%;84%;;0;0;Normal;101.5;;55.6;30876.6;27377.2;3499.3;2021-02-27 09:30:00;2021-02-27 09:30:00;true;180.0;32.0;No weather;
2021-02-27 21:38:13;2021-02-28 09:00:32;78%;84%;;0;0;Normal;101.2;;48.4;40938.5;40119.7;818.8;2021-02-28 09:00:00;2021-02-28 09:00:00;true;240.0;32.0;No weather;
2021-02-28 23:57:12;2021-03-01 09:00:14;86%;83%;;0;0;Normal;99.9;;43.4;32582.4;29324.2;3258.2;2021-03-01 09:00:00;2021-03-01 09:00:00;true;120.0;32.0;No weather;
2021-03-02 00:54:29;2021-03-02 09:30:22;90%;79%;;0;0;Normal;100.9;;37.9;30952.3;26928.5;2476.2;2021-03-02 09:30:00;2021-03-02 09:30:00;true;0.0;32.0;No weather;
2021-03-03 01:19:48;2021-03-03 08:13:32;81%;85%;;0;0;Normal;100.7;;30.8;24823.6;22506.7;2316.9;2021-03-03 08:05:00;2021-03-03 08:35:00;true;60.0;32.0;No weather;
2021-03-04 02:04:25;2021-03-04 09:11:53;81%;86%;;0;0;Normal;100.1;;32.7;25647.7;23253.9;1709.8;2021-03-04 09:30:00;2021-03-04 10:00:00;true;0.0;32.0;No weather;
2021-03-05 01:20:53;2021-03-05 08:25:42;70%;86%;;0;0;Normal;100.6;;41.3;25488.2;20560.5;3228.5;2021-03-05 08:10:00;2021-03-05 08:40:00;true;120.0;32.0;No weather;
2021-03-06 01:42:17;2021-03-06 10:00:18;97%;86%;;0;0;Normal;100.9;;30.7;29881.0;27191.7;1693.3;2021-03-06 10:00:00;2021-03-06 10:00:00;true;420.0;32.0;No weather;
2021-03-06 22:15:28;2021-03-07 07:19:22;74%;73%;;0;0;Normal;101.3;;51.2;32633.9;29914.4;1305.4;2021-03-07 09:30:00;2021-03-07 09:30:00;true;240.0;32.0;No weather;
2021-03-08 00:27:04;2021-03-08 09:00:20;89%;67%;;0;0;Normal;101.9;;38.6;30795.3;25765.4;3079.5;2021-03-08 09:00:00;2021-03-08 09:00:00;true;120.0;32.0;No weather;
2021-03-08 22:50:44;2021-03-09 09:17:36;60%;67%;;0;0;Normal;101.9;;61.2;37612.6;34729.0;752.3;2021-03-09 09:10:00;2021-03-09 09:40:00;true;60.0;32.0;No weather;
2021-03-10 00:51:37;2021-03-10 08:12:26;68%;75%;;0;0;Normal;101.7;;45.2;26449.5;22482.0;2116.0;2021-03-10 08:05:00;2021-03-10 08:35:00;true;60.0;32.0;No weather;
2021-03-11 01:07:39;2021-03-11 09:19:15;94%;82%;;0;0;Normal;101.4;;31.6;29495.8;24186.6;4424.4;2021-03-11 09:15:00;2021-03-11 09:45:00;true;480.0;32.0;No weather;
2021-03-12 02:03:17;2021-03-12 08:35:20;66%;83%;;0;0;Normal;100.9;;40.4;23522.7;21170.4;2352.3;2021-03-12 08:35:00;2021-03-12 08:35:00;true;837.7;32.0;No weather;
2021-03-12 22:38:14;2021-03-13 10:00:11;70%;78%;;0;0;Normal;101.1;;54.4;40916.8;37507.0;818.3;2021-03-13 10:00:00;2021-03-13 10:00:00;true;180.0;32.0;No weather;
2021-03-14 00:46:33;2021-03-14 09:30:32;75%;72%;;0;0;Normal;101.1;;43.0;27838.8;24962.2;2876.7;2021-03-14 09:30:00;2021-03-14 09:30:00;true;180.0;32.0;No weather;
2021-03-14 21:49:13;2021-03-15 08:00:17;62%;64%;;0;0;Normal;101.1;;61.0;36663.5;34097.1;733.3;2021-03-15 08:00:00;2021-03-15 08:00:00;true;180.0;32.0;No weather;
2021-03-16 01:11:07;2021-03-16 08:35:15;69%;64%;;0;0;Normal;101.4;;45.7;26648.1;23716.8;2398.3;2021-03-16 08:35:00;2021-03-16 08:35:00;true;0.0;32.0;No weather;
2021-03-17 01:16:39;2021-03-17 08:35:23;82%;74%;;0;0;Normal;100.8;;33.3;26323.6;22989.2;3334.3;2021-03-17 08:35:00;2021-03-17 08:35:00;true;60.0;32.0;No weather;
2021-03-18 00:28:31;2021-03-18 08:35:21;100%;84%;;0;0;Normal;100.7;;25.2;29209.3;26191.0;3018.3;2021-03-18 08:35:00;2021-03-18 08:35:00;true;0.0;32.0;No weather;